2023-12-27 22:12:447 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-27 22:12:577 INFO  ManageBrowser :43 - CLicking on Signup / Login header tab : [[[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-27 22:12:594 INFO  ManageBrowser :33 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-27 22:12:726 INFO  ManageBrowser :39 - Sending data to Name Field in Signup : [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //input[@placeholder='Name']]
2023-12-27 22:12:799 INFO  ManageBrowser :41 - Sending data to Email Field in Signup : [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //input[@data-qa='signup-email']]
2023-12-27 22:12:861 INFO  ManageBrowser :46 - Clicking on Signup button : [[ChromeDriver: chrome on windows (3cadbd38fc80e75de6f4e036a2ff8582)] -> xpath: //button[normalize-space()='Signup']]
2023-12-27 22:12:898 INFO  ManageBrowser :103 - Getting Enter Account Information text : Proxy element for: DefaultElementLocator 'By.xpath: //b[normalize-space()='Enter Account Information']'
2023-12-27 22:12:415 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-27 22:12:800 INFO  ManageBrowser :43 - CLicking on Signup / Login header tab : [[[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-27 22:12:817 INFO  ManageBrowser :33 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-27 22:12:948 INFO  ManageBrowser :39 - Sending data to Name Field in Signup : [[ChromeDriver: chrome on windows (512d5bd77086e0dbc0f156102f297290)] -> xpath: //input[@placeholder='Name']]
